Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma/Taste Threshold Values
Cinchophen,8593,bitter,OC(=O)c1cc(nc2ccccc12)c3ccccc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Haloperidol,3559,bitter,OC1(CCN(CCCC(=O)c2ccc(f)cc2)CC1)c3ccc(Cl)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Cycrimine Hydrochloride,101597,bitter,Cl.OC(CCN1CCCCC1)(C2CCCC2)c3ccccc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Daidzin,107971,bitter,OC[C@H]1OC(Oc2ccc3C(=O)C(=COc3c2)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O,BitterSweet,The Aroma/Taste threshold values foris unknown
pentamethonium bromide,10919,bitter,[br-].[br-].C[N+](C)(C)CCCCC[N+](C)(C)C,BitterSweet,The Aroma/Taste threshold values foris unknown
Dextroamphetamine Sulfate,5825,bitter,S(=O)(=O)(O[H])O[H].N([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H].N([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H],BitterSweet,The Aroma/Taste threshold values foris unknown
Antipyrine,2206,bitter,CN1N(C(=O)C=C1C)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
Eugenyl methyl ether,7127,bitter,COc1ccc(CC=C)cc1OC,BitterSweet,"Taste Threshold Values:Taste characteristics at 5.0 ppm; spice, cinnamon and clove, mouth tingle, fresh, peppery and woody"
Sodium benzoate,517055,bitter,[Na+].[O-]C(=O)c1ccccc1,BitterSweet,The Aroma/Taste threshold values forSODIUM BENZOATEis unknown
Dapsone,2955,bitter,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,BitterSweet,The Aroma/Taste threshold values foris unknown
Chenodiol,10133,bitter,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,BitterSweet,The Aroma/Taste threshold values foris unknown
Inaperisone Hydrochloride,147524,bitter,Cl.CCc1ccc(cc1)C(=O)C(C)CN2CCCC2,BitterSweet,The Aroma/Taste threshold values foris unknown
resveratrol,445154,bitter,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,BitterSweet,The Aroma/Taste threshold values foris unknown
Metralindole Hydrochloride,171296,bitter,Cl.COc1ccc2c(c1)c3CCN=C4N(C)CCn2c34,BitterSweet,The Aroma/Taste threshold values foris unknown
Improsulfan tosylate,284314,bitter,Cc1ccc(cc1)S(=O)(=O)O.CS(=O)(=O)OCCCNCCCOS(=O)(=O)C,BitterSweet,The Aroma/Taste threshold values foris unknown
"1,5-pentanediol",8105,bitter,OCCCCCO,BitterSweet,The Aroma/Taste threshold values foris unknown
Isoxanthohumol,513197,bitter,COc1cc(O)c(CC=C(C)C)c2OC(CC(=O)c12)c3ccc(O)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Diclofenac,3033,bitter,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,BitterSweet,The Aroma/Taste threshold values foris unknown
Neostigmine bromide,8246,bitter,[br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,BitterSweet,The Aroma/Taste threshold values foris unknown
Carbinoxamine Maleate,5282409,bitter,CN(C)CCOC(c1ccc(Cl)cc1)c2ccccn2.OC(=O)C=C/C(=O)O,BitterSweet,The Aroma/Taste threshold values foris unknown
trans-isohumulone,11175902,bitter,CC(C)CC(=O)C1=C(O)[C@@](O)([C@H](CC=C(C)C)C1=O)C(=O)CC=C(C)C,BitterSweet,The Aroma/Taste threshold values foris unknown
Genistein,5280961,bitter,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Glutaronitrile,10994,bitter,N#CCCCC#N,BitterSweet,The Aroma/Taste threshold values foris unknown
Ammonium picrate,8577,bitter,[NH4+].[O-]c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
ANtU,736366,bitter,NC(=S)Nc1cccc2ccccc12,BitterSweet,The Aroma/Taste threshold values foris unknown
Omeprazole,4594,bitter,COc1ccc2nc([nH]c2c1)S(=O)Cc3ncc(C)c(OC)c3C,BitterSweet,The Aroma/Taste threshold values foris unknown
Chlorbetamide,7330,bitter,OCCN(Cc1ccc(Cl)cc1Cl)C(=O)C(Cl)Cl,BitterSweet,The Aroma/Taste threshold values foris unknown
Gamabufotalin,259803,bitter,CC12CCC(O)CC1CCC3C2C(O)CC4(C)C(CCC34O)C5=COC(=O)C=C5,BitterSweet,The Aroma/Taste threshold values foris unknown
pantoprazole,4679,bitter,COc1ccnc(CS(=O)c2nc3ccc(OC(f)f)cc3[nH]2)c1OC,BitterSweet,The Aroma/Taste threshold values foris unknown
Orphenadrine,4601,bitter,CN(C)CCOC(c1ccccc1)c2ccccc2C,BitterSweet,The Aroma/Taste threshold values foris unknown
Ethylpyrazine,26331,bitter,CCc1cnccn1,BitterSweet,"Taste Threshold Values:Taste characteristics at 10 ppm; nutty, musty, casky, woody, potato, earthy and cocoa with a fishy nuance"
bakankosin,442506,bitter,OCC1OC(OC2OC=C3C(CCNC3=O)C2C=C)C(O)C(O)C1O,BitterSweet,The Aroma/Taste threshold values foris unknown
butallylonal,14362,bitter,CCC(C)C1(CC(=C)br)C(=O)NC(=O)NC1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Crispolide,13993178,bitter,C[C@]12CC[C@@H](OO)C(=CC[C@@H]3[C@H](OC(=O)C3=C)[C@H]1O)C2,BitterSweet,The Aroma/Taste threshold values foris unknown
fencamine Hydrochloride,115373,bitter,Cl.CC(Cc1ccccc1)N(C)CCNc2nc3N(C)C(=O)N(C)C(=O)c3n2C,BitterSweet,The Aroma/Taste threshold values foris unknown
Aprobarbital,6464,bitter,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Cephaeline,442195,bitter,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC4NCCc5cc(O)c(OC)cc45,BitterSweet,The Aroma/Taste threshold values foris unknown
phloridzin,6072,bitter,OCC1OC(Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)cc3)C(O)C(O)C1O,BitterSweet,The Aroma/Taste threshold values foris unknown
potassium Sulfate,24507,bitter,[K+].[K+].[O-]S(=O)(=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
Epirizole,3242,bitter,COc1cc(C)nc(n1)n2nc(C)cc2OC,BitterSweet,The Aroma/Taste threshold values foris unknown
"1,1-Dimethylbiguanide",4091,bitter,CN(C)C(=N)N=C(N)N.OC(=O)CC(O)(CC(=O)O)C(=O)O,BitterSweet,The Aroma/Taste threshold values foris unknown
Dyphylline,3182,bitter,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Morphine Hydrochloride,5464110,bitter,Cl.CN1CCC23C4Oc5c(O)ccc(CC1C2C=CC4O)c35,BitterSweet,The Aroma/Taste threshold values foris unknown
piperidione,6465,bitter,CCC1(CC)C(=O)CCNC1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Cyclooctanone,10403,bitter,O=C1CCCCCCC1,BitterSweet,The Aroma/Taste threshold values foris unknown
Glucose pentaacetate,92972,bitter,CC(=O)OCC(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C=O,BitterSweet,Taste Threshold Values:Taste characteristics at 100 ppm
p-Lactophenetide,98046,bitter,CCOc1ccc(NC(=O)C(C)O)cc1,BitterSweet,The Aroma/Taste threshold values foris unknown
phenethyl isothiocyanate,16741,bitter,S=C=NCCc1ccccc1,BitterSweet,The Aroma/Taste threshold values forPHENETHYL ISOTHIOCYANATEis unknown
Mefenamic acid,4044,bitter,Cc1cccc(Nc2ccccc2C(=O)O)c1C,BitterSweet,The Aroma/Taste threshold values foris unknown
pentobarbital Sodium salt,23676152,bitter,[Na+].CCCC(C)C1(CC)C(=O)NC(=NC1=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
trimethoprim,5578,bitter,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,BitterSweet,The Aroma/Taste threshold values foris unknown
pipemidic Acid,4831,bitter,CCN1C=C(C(=O)O)C(=O)c2cnc(nc12)N3CCNCC3,BitterSweet,The Aroma/Taste threshold values foris unknown
Chrysamminic Acid,3938245,bitter,Oc1c2C(=O)c3c(O)c(cc(c3C(=O)c2c(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
Sulfameter,5326,bitter,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,BitterSweet,The Aroma/Taste threshold values foris unknown
Sucrose Octaacetate,31340,bitter,CC(=O)OCC1OC(OC2(COC(=O)C)OC(COC(=O)C)C(OC(=O)C)C2OC(=O)C)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C,BitterSweet,The Aroma/Taste threshold values forSUCROSE OCTAACETATEis unknown
Helicin,101799,bitter,OC[C@H]1O[C@@H](Oc2ccccc2C=O)[C@H](O)[C@@H](O)[C@@H]1O,BitterSweet,The Aroma/Taste threshold values foris unknown
flufenamic Acid,3371,bitter,OC(=O)c1ccccc1Nc2cccc(c2)C(f)(f)f,BitterSweet,The Aroma/Taste threshold values foris unknown
Meconin,68437,bitter,COc1ccc2COC(=O)c2c1OC,BitterSweet,The Aroma/Taste threshold values foris unknown
Naphazoline Hydrochloride,11079,bitter,Cl.C(C1=NCCN1)c2cccc3ccccc23,BitterSweet,The Aroma/Taste threshold values foris unknown
Cynaropicrin,119093,bitter,OCC(=C)C(=O)OC1CC(=C)C2CC(O)C(=C)C2C3OC(=O)C(=C)C13,BitterSweet,The Aroma/Taste threshold values foris unknown
Hydrocortisone,5754,bitter,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,BitterSweet,The Aroma/Taste threshold values foris unknown
Colchicine,6167,bitter,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,BitterSweet,The Aroma/Taste threshold values foris unknown
Clarithromycin,84029,bitter,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,BitterSweet,The Aroma/Taste threshold values foris unknown
picoperine Hydrochloride,168198,bitter,Cl.C(CN1CCCCC1)N(Cc2ccccn2)c3ccccc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Diltiazem Hydrochloride,62920,bitter,Cl.COc1ccc(cc1)C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(=O)C,BitterSweet,The Aroma/Taste threshold values foris unknown
talbutal,8275,bitter,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
trimethaphan Camsylate,441310,bitter,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2.O=C3N(Cc4ccccc4)C5C[S+]6CCCC6C5N3Cc7ccccc7,BitterSweet,"Taste Threshold Values:Taste characteristics at 10 ppm; camphor-like cooling, citrus and fresh"
4'-hydroxy-7-methoxyflavone,676307,bitter,COc1ccc2C(=O)C=C(Oc2c1)c3ccc(O)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
butethamine meta-Isomer hydrochloride,11114,bitter,Cl.CC(C)CNCCOC(=O)c1cccc(N)c1,BitterSweet,The Aroma/Taste threshold values foris unknown
Nitrofurazone,5447130,bitter,NC(=O)NN=C/c1oc(cc1)[N+](=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
procaine Dihydrate,154387,bitter,O.O.CCN(CC)CCOC(=O)c1ccc(N)cc1,BitterSweet,The Aroma/Taste threshold values foris unknown
"1,3-butylene glycol",7896,bitter,CC(O)CCO,BitterSweet,Aroma Threshold Values:70 to 100 ppm
"3,7,4-trihydroxyflavone",5281611,bitter,OC1=C(Oc2cc(O)ccc2C1=O)c3ccc(O)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Ganoderic Acid A,471002,bitter,CC(CC(=O)CC(C)C(=O)O)C1CC(O)C2(C)C3=C(C(=O)CC12C)C4(C)CCC(=O)C(C)(C)C4CC3O,BitterSweet,The Aroma/Taste threshold values foris unknown
propyphenazone,3778,bitter,CC(C)C1=C(C)N(C)N(C1=O)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
tramadol Hydrochloride,63013,bitter,Cl.COc1cccc(c1)C2(O)CCCCC2CN(C)C,BitterSweet,The Aroma/Taste threshold values foris unknown
Cinchonine,90454,bitter,O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34,BitterSweet,The Aroma/Taste threshold values foris unknown
Mephenesin,4059,bitter,Cc1ccccc1OCC(O)CO,BitterSweet,The Aroma/Taste threshold values foris unknown
"5,7,2'-trihydroxyflavone",5322064,bitter,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3O,BitterSweet,The Aroma/Taste threshold values foris unknown
Coumarilic Acid,10331,bitter,OC(=O)c1oc2ccccc2c1,BitterSweet,The Aroma/Taste threshold values foris unknown
Isoliquiritigenin,638278,bitter,Oc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,BitterSweet,The Aroma/Taste threshold values foris unknown
Atropine Sulfate monohydrate,656678,bitter,O.CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3.CN4[C@@H]5CC[C@H]4C[C@H](C5)OC(=O)C(CO)c6ccccc6.OS(=O)(=O)O,BitterSweet,The Aroma/Taste threshold values foris unknown
Genistin,5281377,bitter,OC[C@H]1O[C@@H](Oc2cc(O)c3C(=O)C(=COc3c2)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Dextromoramide bitartrate,92942,bitter,CC(CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4.OC(C(O)C(=O)O)C(=O)O,BitterSweet,The Aroma/Taste threshold values foris unknown
Edrophonium bromide,9336,bitter,[br-].CC[N+](C)(C)c1cccc(O)c1,BitterSweet,The Aroma/Taste threshold values foris unknown
Amylocaine Hydrochloride,10766,bitter,Cl.CCC(C)(CN(C)C)OC(=O)c1ccccc1,BitterSweet,The Aroma/Taste threshold values foris unknown
2-Amino-5-nitrothiazole,8486,bitter,Nc1ncc(s1)[N+](=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
trapidil,5531,bitter,CCN(CC)c1cc(C)nc2ncnn12,BitterSweet,The Aroma/Taste threshold values foris unknown
Harman,5281404,bitter,Cc1nccc2c3ccccc3[nH]c12,BitterSweet,The Aroma/Taste threshold values foris unknown
Sinigrin,23682211,bitter,OC[C@H]1O[C@@H](SC(=NOS(=O)(=O)[O-])CC=C)[C@H](O)[C@@H](O)[C@@H]1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Chloramphenicol,5959,bitter,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+](=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
prunetin,5281804,bitter,COc1cc(O)c2C(=O)C(=COc2c1)c3ccc(O)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
prednisolone,5755,bitter,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,BitterSweet,The Aroma/Taste threshold values foris unknown
Doxepin,667477,bitter,CN(C)CCC=C1/c2ccccc2COc3ccccc13,BitterSweet,The Aroma/Taste threshold values foris unknown
Anethole trithione,2194,bitter,COc1ccc(cc1)C2=CC(=S)SS2,BitterSweet,The Aroma/Taste threshold values foris unknown
Naringenin,439246,bitter,Oc1ccc(cc1)C2CC(=O)c3c(O)cc(O)cc3O2,BitterSweet,The Aroma/Taste threshold values foris unknown
p-Acetanisidine,5827,bitter,COc1ccc(NC(=O)C)cc1,BitterSweet,The Aroma/Taste threshold values foris unknown
picrotoxin,31304,bitter,CC(=C)C1C2OC(=O)C1C3(O)CC4OC45C(=O)OC2C35C.CC(C)(O)C6C7OC(=O)C6C8(O)CC9OC9%10C(=O)OC7C8%10C,BitterSweet,The Aroma/Taste threshold values foris unknown
Geranyl acetate,1549026,bitter,CC(=CCCC(=CCOC(=O)C)C)C,BitterSweet,"Taste Threshold Values:Taste characteristics at 20 ppm; green, floral, fruity with a citrus nuance"
Isoflavone,72304,bitter,O=C1C(=COc2ccccc12)c3ccccc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Genkwanin,5281617,bitter,COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Limonin,179651,bitter,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]4CC[C@@]5(C)[C@@H](OC(=O)[C@H]6O[C@@]56[C@]4(C)C(=O)C[C@@H]13)c7cocc7,BitterSweet,The Aroma/Taste threshold values foris unknown
Caprolactam,7768,bitter,O=C1CCCCCN1,BitterSweet,Aroma Threshold Values:High strength odor
fraxin,5273568,bitter,COc1cc2C=CC(=O)Oc2c(OC3OC(CO)C(O)C(O)C3O)c1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Alpha-tetralone,10724,bitter,O=C1CCCc2ccccc12,BitterSweet,The Aroma/Taste threshold values foris unknown
Acecarbromal,6489,bitter,CCC(br)(CC)C(=O)NC(=O)NC(=O)C,BitterSweet,The Aroma/Taste threshold values foris unknown
piperonylic acid,7196,bitter,OC(=O)c1ccc2OCOc2c1,BitterSweet,The Aroma/Taste threshold values foris unknown
Calcium phenolsulfonate,31392,bitter,[Ca+2].Oc1ccc(cc1)S(=O)(=O)[O-].Oc2ccc(cc2)S(=O)(=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
butallylonal Sodium salt,23691023,bitter,[Na+].CCC(C)C1(CC(=C)br)C(=O)NC(=NC1=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
phenazopyridine Hydrochloride,8691,bitter,Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1,BitterSweet,The Aroma/Taste threshold values foris unknown
butethal,6473,bitter,CCCCC1(CC)C(=O)NC(=O)NC1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
phenylacetaldehyde dimethyl acetal,60995,bitter,COC(Cc1ccccc1)OC,BitterSweet,The Aroma/Taste threshold values forPHENYLACETALDEHYDE DIMETHYL ACETALis unknown
trimethadione,5576,bitter,CN1C(=O)OC(C)(C)C1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Miconazole,4189,bitter,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BitterSweet,The Aroma/Taste threshold values foris unknown
theophylline,2153,bitter,CN1C(=O)N(C)c2nc[nH]c2C1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Quinine,3034034,bitter,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CC[NH+]3C[C@@H]4C=C)c2c1,BitterSweet,The Aroma/Taste threshold values forQUININE HYDROCHLORIDEis unknown
Neoquassin,72964,bitter,COC1=CC(C)C2CC3OC(O)CC4C(=C(OC)C(=O)C(C34C)C2(C)C1=O)C,BitterSweet,The Aroma/Taste threshold values foris unknown
Azintamide,71105,bitter,CCN(CC)C(=O)CSc1ccc(Cl)nn1,BitterSweet,The Aroma/Taste threshold values foris unknown
L-leucine,6106,bitter,CC(C)C[C@H](N)C(=O)O,BitterSweet,The Aroma/Taste threshold values forL-LEUCINEis unknown
"5,2'-dihydroxyflavone",688660,bitter,Oc1ccccc1C2=CC(=O)c3c(O)cccc3O2,BitterSweet,The Aroma/Taste threshold values foris unknown
Carbimazole,31072,bitter,CCOC(=O)N1C=CN(C)C1=S,BitterSweet,The Aroma/Taste threshold values foris unknown
Methadone Hydrochloride,14184,bitter,Cl.CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
Camphotamide,71830,bitter,CCN(CC)C(=O)c1ccc[n+](C)c1.CC2(C)C3CCC2(C)C(=O)C3S(=O)(=O)[O-],BitterSweet,The Aroma/Taste threshold values foris unknown
Morin,5281670,bitter,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3O,BitterSweet,The Aroma/Taste threshold values foris unknown
Quercetagetin,5281680,bitter,OC1=C(Oc2cc(O)c(O)c(O)c2C1=O)c3ccc(O)c(O)c3,BitterSweet,The Aroma/Taste threshold values foris unknown
thiosinamine,1549517,bitter,NC(=S)NCC=C,BitterSweet,The Aroma/Taste threshold values foris unknown
Methadone,4095,bitter,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
pinocembrin,68071,bitter,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c3ccccc3,BitterSweet,The Aroma/Taste threshold values foris unknown
tolazoline Hydrochloride,6048,bitter,Cl.C(C1=NCCN1)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
1-nitronaphthalene,6849,bitter,[O-][N+](=O)c1cccc2ccccc12,BitterSweet,The Aroma/Taste threshold values foris unknown
Neryl isovalerate,6429039,bitter,CC(C)CC(=O)OCC=C(/C)CCC=C(C)C,BitterSweet,"Taste Threshold Values:Taste characteristics at 5 to 20 ppm; fruity, rich floral and slightly citrus-like with berry, waxy nuances of blueberry, fruity notes of apple, grape, peach and apricot"
Salsalate,5161,bitter,OC(=O)c1ccccc1OC(=O)c1ccccc1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Hydroxyzine Dihydrochloride,91513,bitter,Cl.Cl.OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,BitterSweet,The Aroma/Taste threshold values foris unknown
verbenalin,73467,bitter,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(C)CC(=O)C13,BitterSweet,The Aroma/Taste threshold values foris unknown
D-fenchone,1201521,bitter,CC12CCC(C1)C(C)(C)C2=O,BitterSweet,"Taste Threshold Values:Taste characteristics at 5 ppm; cooling camphoreous, with green citrus lime nuances"
phenyl biguanide,4780,bitter,NC(=NC(=Nc1ccccc1)N)N,BitterSweet,The Aroma/Taste threshold values foris unknown
Chlorhexidine,9552079,bitter,NC(=N/C(=N/CCCCCCN=C(/N)N=C(/N)Nc1ccc(Cl)cc1)/N)Nc2ccc(Cl)cc2,BitterSweet,The Aroma/Taste threshold values foris unknown
Amobarbital,2164,bitter,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Diperodon Hydrochloride,10830,bitter,Cl.O=C(Nc1ccccc1)OCC(CN2CCCCC2)OC(=O)Nc3ccccc3,BitterSweet,The Aroma/Taste threshold values foris unknown
Lincomycin Hydrochloride monohydrate,71476,bitter,O.Cl.CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O,BitterSweet,The Aroma/Taste threshold values foris unknown
Luteolin,5280445,bitter,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3,BitterSweet,The Aroma/Taste threshold values foris unknown
thiacetazone,9568512,bitter,CC(=O)Nc1ccc(C=N/NC(=S)N)cc1,BitterSweet,The Aroma/Taste threshold values foris unknown
Nomilin,72320,bitter,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC(=O)[C@]3(C)[C@H](CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@@]345)c6cocc6)[C@@]12C,BitterSweet,The Aroma/Taste threshold values foris unknown
Quebrachamine,92990,bitter,CCC12CCCN(CCc3c(CC1)[nH]c4ccccc34)C2,BitterSweet,The Aroma/Taste threshold values foris unknown
Meranzin,1803558,bitter,COc1ccc2C=CC(=O)Oc2c1CC3OC3(C)C,BitterSweet,The Aroma/Taste threshold values foris unknown
"5,5' Methylenedisalicylic Acid",67145,bitter,OC(=O)c1cc(Cc2ccc(O)c(c2)C(=O)O)ccc1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Glimepiride,3476,bitter,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
Lycoctonine,99924,bitter,CCN1CC2(CO)CCC(OC)C34C5CC6C(CC(O)(C5C6OC)C(O)(C(OC)C23)C14)OC,BitterSweet,The Aroma/Taste threshold values foris unknown
Chalcone,637760,bitter,O=C(C=Cc1ccccc1)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
Yohimbine,8969,bitter,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,BitterSweet,The Aroma/Taste threshold values foris unknown
Succinylcholine Chloride,22475,bitter,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,BitterSweet,The Aroma/Taste threshold values foris unknown
"2,6-Dimethylpiperidine",68843,bitter,CC1CCCC(C)N1,BitterSweet,The Aroma/Taste threshold values foris unknown
Cinnamyl alcohol,5315892,bitter,OCC=Cc1ccccc1,BitterSweet,"Taste Threshold Values:Taste characteristics at 20 ppm; green, floral, spicy and honey with a fermented yeasty nuance"
Clonixin,28718,bitter,Cc1c(Cl)cccc1Nc2ncccc2C(=O)O,BitterSweet,The Aroma/Taste threshold values foris unknown
tiaramide Hydrochloride,443949,bitter,Cl.OCCN1CCN(CC1)C(=O)CN2C(=O)Sc3ccc(Cl)cc23,BitterSweet,The Aroma/Taste threshold values foris unknown
Meperidine Hydrochloride,5750,bitter,Cl.CCOC(=O)C1(CCN(C)CC1)c2ccccc2,BitterSweet,The Aroma/Taste threshold values forGUAIAC GUM EXTRACTis unknown
phenylmethylbarbituric Acid,66160,bitter,CC1(C(=O)NC(=O)NC1=O)c2ccccc2,BitterSweet,The Aroma/Taste threshold values foris unknown
6-nitrosaccharin,100187,bitter,[O-][N+](=O)c1ccc2C(=O)NS(=O)(=O)c2c1,BitterSweet,The Aroma/Taste threshold values foris unknown
Chlormetacrine Dihydrochloride,159626,bitter,Cl.Cl.CCN(CC)CC(O)CNc1c2ccc(Cl)cc2nc3ccc(OC)cc13,BitterSweet,The Aroma/Taste threshold values foris unknown
propamidine Isethionate,67413,bitter,NC(=N)c1ccc(OCCCOc2ccc(cc2)C(=N)N)cc1.OCCS(=O)(=O)O.OCCS(=O)(=O)O,BitterSweet,The Aroma/Taste threshold values foris unknown
Salicylamide,5147,bitter,NC(=O)c1ccccc1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Artemorin,5281428,bitter,CC1=C/[C@H]2OC(=O)C(=C)[C@@H]2CCC(=C)[C@H](O)CC1,BitterSweet,The Aroma/Taste threshold values foris unknown
prunin,92794,bitter,OCC1OC(Oc2cc(O)c3C(=O)CC(Oc3c2)c4ccc(O)cc4)C(O)C(O)C1O,BitterSweet,The Aroma/Taste threshold values foris unknown
Narcobarbital,18735,bitter,CC(C)C1(CC(=C)br)C(=O)NC(=O)N(C)C1=O,BitterSweet,The Aroma/Taste threshold values foris unknown
