,Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma Taste Threshold Values
3417,Isocaryophyllene,5281522,"spice,wood ",C/C/1=C/CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; spicy, pepper-like, woody, camphoraceous with a citrus background"
3420,beta-Sinensal,5281535,fruity,C/C(=C\CCC(=C)C=C)/CC/C=C(\C)/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; orange, waxy, citrus with a peel nuance"
3422,Ocimene,5281553,"citrus,herbal,sweet,woody,tropical,terpene,herb,green",CC(=CC/C=C(\C)/C=C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; green, tropical, woody with floral and vegetable nuances"
3444,Alpha-Ionone,5282108,"floral,sweet,woody,tropical,fruity,wood,orris,raspberry,violet",CC1=CCCC(C1/C=C/C(=O)C)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; woody, floral, berry, fruity with powdery nuances"
3445,Geranyl formate,5282109,"neroli,tea,green,rose,fresh,bitter",CC(=CCC/C(=C/COC=O)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, floral, citrus, waxy, fruity, apple and apricot-like"
3446,Cinnamyl acetate,5282110,"floral,fruity,honey",CC(=O)OC/C=C/C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; sweet, spicy, floral, cinnamon and honey with a tutti-fruitti nuance"
3455,trans-3-Hexenoic acid,5282708,fruity,CC/C=C/CC(=O)O,flavorDB,Taste Threshold Values:Taste characteristics at 50 ppm
3463,4-Hexenal,5283308,green ,C/C=C/CCC=O,flavorDB,Aroma Threshold Values:Detection. at. 0.0003. ppm. in. water.
3464,(E)-Hept-2-enal,5283316,"soap,vegetable,fat,fresh,fatty,pungent,almond,green",CCCC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 4 ppm; intense green, sweet, fresh fruity apple-skin nuances"
3466,trans-2-Octenal,5283324,"nut,fat,herbal,fresh,green,fatty,banana,waxy,leaf,cucumber",CCCCC/C=C/C=O,flavorDB,Aroma Threshold Values:3 to 4 ppb
3468,"(2E,4E)-Octa-2,4-dienal",5283329,"green,fatty,melon,pear,seaweed,cucumber",CCC/C=C/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, fruity, melon, citrus, tallow and fatty nuances"
3469,trans-2-Nonenal,5283335,"waxy,green,fatty,paper,melon,cucumber",CCCCCC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, soapy, cucumber/melon-like with an aldehydic, fatty nuance"
3471,"trans,trans-2,4-Nonadienal",5283339,fruity,CCCC/C=C/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; green, cucumber with fatty melon and chicken nuances"
3472,trans-2-Decenal,5283345,"orange,coriander,rose,tallow,waxy,oily,fatty,earthy,floral,aldehydic,mushroom,green",CCCCCCC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 1.0 ppm; waxy, fatty, earthy, coriander, mushroom, green with a pork fat nuance"
3474,"(2E,4E)-deca-2,4-dienal",5283349,"citrus,orange,nut,wax,meat,fat,fresh,fatty,oily,cucumber,sweet,melon,pumpkin,fried,green",CCCCC/C=C/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; rich oily fatty, aldehydic, green, chicken meat with tropical fruit and cilantro nuances"
3475,2-Undecenal,5283356,"citrus,soap,orange peel,fat,fresh,sweet,fruity,green",CCCCCCCC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; waxy, addehydic, green, with a citrus and meaty nuance"
3476,trans-2-Dodecenal,5283361,"citrus,orange,fat,herbal,waxy,mandarin,sweet,fruity,aldehydic,metallic,green",CCCCCCCCC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 0.1 ppm; strong aldehydic, soapy, vegetative green, celery and cucumber-like, banana musty, chicken fatty and brothy"
3477,2-tridecenal,5283363,"bitter,powerful,waxy,tangerine,citrus peel",CCCCCCCCCC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; aldehydic, citrus-like, fatty, green and creamy"
3479,9-tetradecenal,5283368,"citrus,fruity",CCCC/C=C/CCCCCCCC=O,flavorDB,"Aroma Threshold Values:Detection and recognition thresholds for (Z)-8-tetradecenal are reported as 0.067 and 0.064 ppm in water, respectively"
3487,Oleyl Alcohol,5284499,savory,CCCCCCCC/C=C\CCCCCCCCO,flavorDB,"Aroma Threshold Values:Fatty-type, medium strength odor"
3489,Nerolidol,5284507,"citrus,wax,waxy,floral,woody,wood,flower,green",CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; green, floral, woody with fruity, citrus and melon nuances"
3522,cinnamyl alcohol,5315892,"hyacinth,spicy,powdery,sweet,cinnamic,balsam,green,bitter",C1=CC=C(C=C1)/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, floral, spicy and honey with a fermented yeasty nuance"
3524,3-Nonen-2-One,5317045,"berry,fruity",CCCCC/C=C/C(=O)C,flavorDB,Aroma Threshold Values:800 ppb
3536,trans-2-Hexen-1-Ol,5318042,"leafy,alcohol,pepper,wine,green,fresh,fruit,unripe banana,fruity,leaf,walnut",CCC/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; fresh, leafy green, slightly fatty with grassy, fruity and juicy nuances, tomato and celery nuances"
3546,trans-2-Octen-1-Ol,5318599,"citrus,soap,green,plastic",CCCCC/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; green, slightly oxidized, oily and nutty, chicken fatty, goaty and creamy on dry out with a cucumber rind nuance"
3552,2-Methyl-2-pentenal,5319754,fruit,CC/C=C(\C)/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet, tangy, juicy fruit, cherry, almond, citrus and topical with a slight penetrating burning sensation and jamy brown with an alliaceous sharpness"
3554,Methyl propyl trisulfide,5319765,"sulfurous,garlic,onion,metallic,green",CCCSSSC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; onion, garlic, fresh and metallic with a cheese nuance"
3556,cis-Nerolidol,5320128,fruit,CC(=CCC/C(=C\CCC(C)(C=C)O)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; green, floral, woody with fruity, citrus and melon nuances"
3573,tiglic aldehyde,5321950,"ethereal,anisic,fruit,pungent,fruity,nutty,green",C/C=C(\C)/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; fresh, fruity, green, pulpy and almond nutty"
3577,Caryophyllene,5322111,"wood,woody,spicy",C/C/1=C/CCC(=C)C2CC(C2CC1)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; spicy, pepper-like, woody, camphoraceous with a citrus background"
3578,Methyl sorbate,5323650,"pungent,fruity,licorice",C/C=C/C=C/C(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; fruity, sweet, brown, vanilla and nutty"
3579,cis-2-Hexen-1-ol,5324489,"fruit,green",CCC/C=C\CO,flavorDB,"Taste Threshold Values:Taste characteristics at 5 to 50 ppm; green vegetative and herbal, raw green beans, tomato and potato with a fusel winey nuance"
3582,.beta.-Santanol acetate,5352140,"powdery,bitter,floral,cashew,woody,nutty,orris",C/C(=C\CCC1(C2CCC(C2)C1=C)C)/COC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; woody, ionone and berry-like"
3583,Neryl butyrate,5352162,"apple,orange,rose,waxy,oily,fatty,fruit,sweet,fruity,tropical,leaf,raspberry,green",CCCC(=O)OC/C=C(/C)\CCC=C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, fruity, fatty, floral, berry with some tropical nuances"
3585,(Z)-4-Hydroxy-6-dodecenoic acid lactone,5352428,"peach,waxy,fatty,sweet,creamy,fruity,dairy",CCCCC/C=C\CC1CCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 5.0 ppm; fatty, waxy, creamy and dairy-like with a lactonic fruitness"
3587,Citral dimethyl acetal,5352435,fruit,CC(=CCC/C(=C/C(OC)OC)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, citrus, lemon, grapefruit, lime with woody and terpy nuance"
3588,neral dimethyl acetal,5352436,"lemon,lime,floral,citric,natural,green",CC(=CCC/C(=C\C(OC)OC)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, citrus, lemon, grapefruit, lime with woody and terpy nuance"
3589,(E)-gamma-bisabolene,5352437,"citrus,myrrh,opoponax,balsam,spicy",CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; citrus, woody, tropical, floral, fruity, astringent and green"
3590,16491-36-4,5352438,"apple,wine,fresh,fruity,metallic,buttery,green",CCCC(=O)OCC/C=C\CC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, fruity, leafy with a fresh apple and pear nuance"
3592,68698-59-9,5352460,"apple,banana,waxy,grape,pear,green",CCC/C=C/COC(=O)CC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; green apple, fruity with an oily waxy nuance and a lingering fruity aftertaste"
3593,trans-2-Hexenyl butyrate,5352461,"apple,banana,fruity,orchid,grassy,green",CCC/C=C/COC(=O)CCC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 10 ppm; green, oily, fresh fruity with a full mouthfeel"
3594,2-Hexenyl propanoate,5352463,"apple,pear,fruity,green",CCC/C=C/COC(=O)CC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; green, oily fruity with a slight soapy mouthfeel"
3596,41519-23-7,5352539,"apple,cut grass,fruity,pear,cut privet,green",CC/C=C\CCOC(=O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; sweet, fruity, apple and pear with a slight green character and nuances of raw beans and filberts"
3597,cis-3-Hexenyl hexanoate,5352543,"pineapple,prune,waxy,winey,fruit,fruity,tropical,pear,grassy,green",CCCCCC(=O)OCC/C=C\CC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, fruity, waxy and sweet with a berry and tropical nuance"
3599,jasmine lactone,5352626,fruit,CC/C=C\CC1CCCC(=O)O1,flavorDB,"Taste Threshold Values:Taste characteristics at 75 ppm; creamy, fatty, coconut, peach and apricot-like with tropical nuances"
3600,Ethyl (2Z)-Oct-2-Enoate,5352768,"plum skin,waxy,fatty,pear skin,tropical,fruity,green",CCCCC/C=C\C(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, green and sweet with a juicy, fruity undernote"
3601,Ethyl cis-4-octenoate,5352770,fruit,CCC/C=C\CCC(=O)OCC,flavorDB,Aroma Threshold Values:50 ppb
3604,Ethyl trans-4-octenoate,5352799,"pineapple,fresh",CCC/C=C/CCC(=O)OCC,flavorDB,Aroma Threshold Values:50 ppb
3608,cis-5-Octen-1-ol,5352837,"watermelon,melon,fresh,watery",CC/C=C\CCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, melon, fruity and mushroom"
3612,"3,5-Octadien-2-one",5352876,"fat,fatty,fruit,fruity,grassy,mushroom,green",CC/C=C/C=C/C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1.0 ppm; sweet, waxy, creamy, milky, toasted coconut with vanilla and dairy nuances"
3616,trans-2-Hexenyl valerate,5352974,"apple,pineapple,banana,fruity,cognac,green",CCCCC(=O)OC/C=C/CCC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 10 ppm; waxy, green, fruity apple, pear and pineapple with a slight waxy floral aftertaste"
3623,Dehydrozingerone,5354238,floral,CC(=O)/C=C/C1=CC(=C(C=C1)O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 200 ppm; balsamic vanilla, with sweet aromatic spicy nuances"
3624,cis-Ethyl crotonate,5354263,"diffusive,caramel,chemical,sweet,pungent,rum,alliaceous",CCOC(=O)/C=C\C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; rum, cognac and pungent with caramellic and fruity nuances"
3625,vanitrope,5354280,"tobacco,powdery,vanilla,sweet,woody,spicy,phenolic",CCOC1=C(C=C(C=C1)/C=C/C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; vanilla, spicy, sweet nutty, anisic with a biting creaminess"
3626,cis-2-Nonenal,5354833,"citrus,fat,waxy,fatty,cucumber,aldehydic,orris,green",CCCCCC/C=C\C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, soapy, cucumber/melon-like with an aldehydic, fatty nuance"
3627,(Z)-2-Decenal,5354834,tallow,CCCCCCC/C=C\C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 1.0 ppm; waxy, fatty, earthy, coriander, mushroom, green with a pork fat nuance"
3628,Neryl formate,5354882,"rose,herbal,fruity,geranium,tea,green",CC(=CCC/C(=C\COC=O)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; fruity, green, citrus and tropical with a floral nuance"
3629,Cinnamyl formate,5354883,bitter,C1=CC=C(C=C1)/C=C/COC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet, cinnamon-like, astringent, with woody resinous and balsamic nuances"
3630,alpha-Methyl cinnamaldehyde,5354896,"cassia,sweet,spicy,cinnamon",C/C(=C/C1=CC=CC=C1)/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; spice, cinnamon, sweet, woody with a slight pungent and hot bite"
3631,(Z)-4-Methyl-2-pentenal,5354998,"apple,woody,aldehydic,cognac,green",CC(C)/C=C\C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, fruity, apple skin, brandy and cider-like"
3632,cis-3-Hexenoic acid,5355152,"cheesy,acid,grass,sweaty,fruity,green",CC/C=C\CC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; green, dairy-like with a vegetable and melon nuance"
3635,Cinnamyl propionate,5355850,fruit,CCC(=O)OC/C=C/C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, floral, waxy, balsamic, green, punch, grape and cherry"
3636,Geranyl propionate,5355853,bitter,CCC(=O)OC/C=C(\C)/CCC=C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5.0 ppm; waxy, floral rosey, vegetative and fruity tropical, with an herbal nuance"
3637,Cinnamyl isovalerate,5355855,fruit,CC(C)CC(=O)OC/C=C/C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; fruity, sweet, pineapple, with waxy and spicy nuances"
3638,Geranyl butyrate,5355856,"floral,fruity",CCCC(=O)OC/C=C(\C)/CCC=C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet, fruity, green, slightly floral with a lingering tropical fruity aftertaste"
3646,methyl (2Z)-non-2-enoate,5357388,"vegetable,waxy,sweet,fruity,melon,pear,violet,green",CCCCCC/C=C\C(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; green, waxy, oily, fruity, watermelon rind, pear- and apple-like"
3647,3-Octen-2-Ol,5358336,"mushroom,creamy,melon rind,waxy",CCCC/C=C/C(C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; mushroom, green, melon rind, earthy and nutty notes"
3655,"2,4-Dimethyl-2-pentenoic acid",5362565,"acidic,fruity,honey,cheese",CC(C)/C=C(\C)/C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; tangy, acidic and cheesy with ripe, fruity nuances"
3661,Ethyl methyl-p-tolylglycidate,5362581,"berry,powdery,floral,sweet,fruity,cherry,green",CCOC(=O)C1C(O1)(C)C2=CC=C(C=C2)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; sweet, floral, fruity and cherry with almond and vanilla nuances"
3662,Ethyl trans-4-decenoate,5362583,"cognac,fruity,waxy,green",CCCCC/C=C/CCC(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fatty, waxy, green, pineapple and pear nuances"
3664,81925-81-7,5362588,"raw,hazelnut,nut,filbert,sweet,ketonic,myrcene,nut skin,nutty",CCC(C)C(=O)/C=C/C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; nutty, roasted, coffee, cocoa, brown with an earthy brown and meaty nuance, sugar fondant, delicate, hazelnut, with macadamia and pecan nuances"
3666,"propyl 2,4-decadienoate",5362592,"fatty,pear,melon,green",CCCCC/C=C/C=C/C(=O)OCCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; melon, green, pear, with waxy tropical nuances"
3671,Ethyl 3-Hexenoate,5362622,fruit,CC/C=C/CC(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, green, sweet and pineapple-like"
3673,2-Isopropyl-5-methyl-2-hexenal,5362661,floral,CC(C)C/C=C(/C=O)\C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; woody, nutshell, cocoa hulls, thiazole-like creamy nuance and a fresh, fruity peachlike nuance"
3674,"2,4-Decadien-1-ol",5362696,"fatty,citrus,melon,waxy",CCCCC/C=C/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; strong fatty, chicken and lard-like, a rich fatty mouthfeel with a faint fruity apple nuance"
3675,cis-6-Nonenal,5362720,"cantaloupe,waxy,green,melon,cucumber",CC/C=C\CCCCC=O,flavorDB,Taste Threshold Values:Taste characteristics at 25 ppm
3676,"3-Hexenoic acid, methyl ester",5362782,"earthy,sweet,slightly fruity",CC/C=C/CC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet green, banana-like, slightly acidic with fruity nuances of pineapple, pear, apple and passion fruit"
3677,cis-6-Nonen-1-ol,5362792,"honeydew,cantaloupe,waxy,fresh,cucumber,melon,clean,green",CC/C=C\CCCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; waxy, cucumber, honeydew, green watermelon"
3679,cis-4-Heptenal,5362814,"cream,biscuit,milky,oily,fatty,creamy,dairy,green",CC/C=C\CCC=O,flavorDB,Aroma Threshold Values:0.4 ppb
3681,Geranyl isovalerate,5362830,bitter,CC(C)CC(=O)OC/C=C(\C)/CCC=C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; green, fruity, oily, herbal and melon-like"
3683,"trans,cis-2,6-Nonadien-1-ol",5362833,"leafy,oily,cucumber,violet,green",CC/C=C\CC/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; melon, watermelon, violet, mushroom-like with apple and rosy nuances"
3684,68555-65-7,5363120,"fatty,leafy,nutty,green",CC/C=C\CC/C=C/COC(=O)C,flavorDB,Taste Threshold Values:Taste characteristics at 1 to 15 ppm
3689,3-Octen-2-One,5363229,"crushed bug,nut,herbal,earthy,hay,sweet,blueberry,mushroom,spicy",CCCC/C=C/C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; creamy, earthy, oily, with mushroom nuances"
3691,3-Decen-2-one,5363233,"citrus,apple,jasmine,wine_like,jasmin,vegetable,fatty,floral,earthy,woody,fruity,nutty,herbaceous,pear,meaty,spicy,green",CCCCCC/C=C/C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; waxy, green, creamy with a buttery, lactonic note"
3692,Ethyl oleate,5363269,dairy,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,flavorDB,Aroma Threshold Values:130 to 610 ppm
3693,cis-3-Hexenyl pyruvate,5363291,"banana peel,oily,melon rind,tea,cucumber skin,green",CC/C=C\CCOC(=O)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 15 ppm; oily green cucumber vegetative and fruit-like with nuances of apple, berry and cherry as well as watermelon"
3694,cis-3-Hexenyl acetate,5363388,"apple,fresh,banana,sweet,fruity,grassy,green",CC/C=C\CCOC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, fruity, apple and pear with fresh tropical nuances"
3696,Sorbyl acetate,5363491,"parsley,herbal,fresh,oily,fleshy,pumpkin,green",C/C=C/C=C/COC(=O)C,flavorDB,Taste Threshold Values:Fresh green herbal soapy metallic taste at 25 ppm in water
3697,Ocimene quintoxide,5363526,fruit,C/C=C(\C)/C1CCC(O1)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; green, woody, terpy, citrus, lime, with a fresh and cooling nuance"
3700,alpha-Ionol,5363817,"ionone,floral,sweet,woody,tropical,violet",CC1=CCCC(C1/C=C/C(C)O)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; woody, ionone-like with a woody, floral powdery note"
3702,4-Methyl-2-phenyl-2-pentenal,5363896,"powdery,rose,sweet,cocoa,nutty",CC(C)/C=C(\C=O)/C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; floral, sweet, waxy and cocoa-like with a honey nuance"
3703,cis-3-Hexenyl lactate,5364231,"leafy,waxy,sweet,melon,tropical,leaf,fruity,violet,green",CC/C=C\CCOC(=O)C(C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; green, leafy, waxy with fruity, tropical nuances"
3705,Ethyl 2-octenoate,5364399,"oil,must,waxy,fruit,pungent,fruity,tropical,green",CCCCC/C=C/C(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, green and sweet with a juicy, fruity undernote"
3707,Ethyl elaidate,5364430,"tallow,milky,waxy,fatty,oily,dairy",CCCCCCCC/C=C/CCCCCCCC(=O)OCC,flavorDB,Aroma Threshold Values:130 to 610 ppm
3709,Methyl oct-2-enoate,5364532,"pear skin,fruity",CCCCC/C=C/C(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; fruity, green, sweet, waxy with a fresh tropical note"
3710,3-Hepten-2-One,5364578,"caraway,grassy,green",CCC/C=C/C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; creamy, dairy, waxy, stale milky, blue cheese and cheese rind with ripe, slightly moldly stale milk with a good mouthfeel"
3711,"2,4-Nonadien-1-ol",5364586,"waxy,green,fatty,melon,cucumber",CCCC/C=C/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 0.1 to 5 ppm; strong fatty, oily, green melon and cucumber-like with chicken and mutton nuances and a fatty mouthfeel"
3714,trans-2-pentenal,5364752,"apple,orange,tomato,strawberry,fruit,pungent,fruity,green",CC/C=C/C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, waxy and fruity"
3715,Ethyl hex-2-enoate,5364778,"vegetable,sweet,rum,fruity,juicy,green",CCC/C=C/C(=O)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, green and sweet with a juicy, fruity undernote"
3717,cis-2-penten-1-ol,5364919,"rubber,ethereal,green,fruity,plastic",CC/C=C\CO,flavorDB,"Aroma Threshold Values:Medium strength odor, green type; recommend smelling in a 10.00% solution or less"
3718,trans-2-penten-1-ol,5364920,"mushroom,green",CC/C=C/CO,flavorDB,"Aroma Threshold Values:Medium strength odor, green type; recommend smelling in a 10.00% solution or less"
3719,trans-2-Nonen-1-ol,5364941,"violet,melon,waxy,green",CCCCCC/C=C/CO,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, fatty, melon with a chicken fat and lard nuance"
3722,cis-2-Nonen-1-ol,5365027,"slightly waxy,sweet,melon",CCCCCC/C=C\CO,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fatty, rindy, green, cucumber and melon"
3723,cis-3-Hexenyl propionate,5365049,"leafy,apple,fresh,waxy,fruity,pear,green",CC/C=C\CCOC(=O)CC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; green, apple and pear with an oily, waxy, slightly citrus note"
3724,53398-85-9,5365069,"apple,fresh,sweet,fruity,pear,herb,green",CC/C=C\CCOC(=O)C(C)CC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, fruity, sweet, juicy and pear-like with vegetative nuances"
3727,cis-3-Hexenyl formate,5365587,"vegetable,sharp,waxy,fresh,sweet,grassy,green",CC/C=C\CCOC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, waxy, fresh, vegetable, fruity, apple, guava and green banana"
3728,cis-4-Hexen-1-ol,5365589,"turnup,vegetable,tomato,gassy,brothy,cooked,green",C/C=C\CCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, tomato, fresh with herbal vegetable nuances"
3730,"3,6-Nonadien-1-ol, (E,Z)-",5365706,fishy,CC/C=C/C/C=C/CCO,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 15 ppm; very oily, fatty raw cucumber vegetative character with green apple and unripe banana nuances"
3732,Citral Diethyl Acetal,5365794,fruit,CCOC(/C=C(\C)/CCC=C(C)C)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, citrus lemon with waxy nuance"
3733,4-Hexen-3-One,5365811,"ethereal,pungent,tropical,metallic,spicy,green",CCC(=O)/C=C/C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; pungent mustard, pepper, horseradish, rum, roasted onion and slightly tropi-cal nuances"
3736,2-Methyl-2-pentenoic Acid,5365909,fruit,CC/C=C(\C)/C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sour, acidic, sweaty, berry and fruit-like"
3738,delta-Damascone,5365916,"tobacco,blackcurrant,rose,cassis,sweet,fruity,natural,petal",C/C=C/C(=O)C1C(C=CCC1(C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm, woody, astringent, berry with a slight spice nuance"
3739,Allyl ionone,5365976,"weedy,leather,waxy,floral,woody,tropical,orris,green",CC1=CCCC(C1/C=C/C(=O)CCC=C)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; floral, sweet, fruity, woody and orris-like nuance"
3740,Neryl propionate,5365982,"berry,jammy,rose,fresh,waxy,floral,bitter,fruity,tropical,green",CCC(=O)OC/C=C(/C)\CCC=C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; green, fruity, floral, waxy, seedy and berry"
3741,Neryl isobutyrate,5365991,"strawberry,fresh,sweet,fruity,raspberry,green",CC(C)C(=O)OC/C=C(/C)\CCC=C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; juicy and fruity, green, sweet, melon and waxy"
3744,Geranyl phenylacetate,5366044,fruit,CC(=CCC/C(=C/COC(=O)CC1=CC=CC=C1)/C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 35 ppm; floral, rosy, honey and green with fatty, fruity nuances"
3745,Damascenone,5366074,"apple,tobacco,rose,smoky,sweet,honey",C/C=C/C(=O)C1=C(C=CCC1(C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; sweet brown, tea-like, davana dried fruity, with jamy berry, strawberry and raspberry nuances, woody, floral, herbal, green and fruity with spicy tobacco nuances"
3751,Acetaldehyde ethyl cis-3-hexenyl acetal,5366352,green ,CC/C=C\CCOC(C)OCC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; dry, green, rindy with a fruity finish, slightly buttery and mushroom-like with metallic nuances"
